2.667775067995090694e+02,3.499999999999863576e+02,3.499999999999863576e+02,3.499999999999863576e+02,3.499999999999863576e+02,3.499999999999863576e+02
1.704463709609023283e+02,2.500813790260169753e+02,3.167440384119627197e+02,3.499999999999863576e+02,3.499999999999863576e+02,3.499999999999863576e+02
1.139415187086552947e+02,1.598263603721667039e+02,1.983154651046932031e+02,2.326884432990347875e+02,2.642987443796546358e+02,2.938720448714153690e+02
8.107719524119792709e+01,1.075826002790041258e+02,1.298293160696947837e+02,1.496999775040241332e+02,1.679749266165995891e+02,1.850731412348728782e+02
6.205879350587525778e+01,7.738168116530073348e+01,9.024410524270531653e+01,1.017334346342244373e+02,1.123006404260394362e+02,1.221878838249040484e+02
5.106568128578066990e+01,5.992628175609913654e+01,6.736483060083820362e+01,7.400980230573301810e+01,8.012185724367671469e+01,8.584096689453410534e+01
4.471198251988218431e+01,4.983756666819350301e+01,5.414122730288605823e+01,5.798621687277785952e+01,6.152319789526237059e+01,6.483307606522873812e+01
4.103973802840946661e+01,4.400658811391813430e+01,4.649835829712840507e+01,4.872500785631205389e+01,5.077362165789334369e+01,5.269096540814561536e+01
3.891729289275276216e+01,4.063645760726864609e+01,4.208100287174872278e+01,4.337228793753423872e+01,4.456065071708575687e+01,4.567312420633812309e+01
3.769058458126767164e+01,3.868862428221147098e+01,3.952790289024596859e+01,4.027857105560401862e+01,4.096972765796530069e+01,4.161700043103877533e+01
3.698158478102263302e+01,3.756283596175140360e+01,3.805228804997542369e+01,3.849049450848497145e+01,3.889427854648628369e+01,3.927267586397149302e+01
3.657180464722051738e+01,3.691216472418621208e+01,3.719942749136054516e+01,3.745704007871030683e+01,3.769473067595416893e+01,3.791772493723165383e+01
3.633496430688839496e+01,3.653609667696496643e+01,3.670650011202248209e+01,3.685973478353980681e+01,3.700142815710420052e+01,3.713460377855388117e+01
3.619807786123872262e+01,3.631874087681241292e+01,3.642160316837478007e+01,3.651451054100626692e+01,3.660072036052583400e+01,3.668198341527374140e+01
3.611896169875567608e+01,3.619311589346162350e+01,3.625694146546054242e+01,3.631498148882845811e+01,3.636912348207091128e+01,3.642038261655135045e+01
